player,college,year
"Fowles, Sylvia",LSU,2017
"Moore, Maya",Connecticut,2017
"Augustus, Seimone",LSU,2017
"Brunson, Rebekkah",Georgetown,2017
"Whalen, Lindsay",Minnesota,2017
"Montgomery, Renee",Connecticut,2017
"Perkins, Jia",Texas Tech,2017
"Jones, Alexis",Baylor,2017
"Howard, Natasha",Florida State,2017
"Pierson, Plenette",Texas Tech,2017
"Zandalasini, Cecilia",Italy,2017
"Chelsea Gray",Duke,2017
"Candace Parker",Tennessee,2017
"Odyssey Sims",Baylor,2017
"Nneka Ogwumike",Stanford,2017
"Alana Beard",Duke,2017
"Jantel Lavender",Ohio State,2017
"Essence Carson",Rutgers,2017
"Riquna Williams",Miami,2017
